file name,service,ms.date in Acom,ms.date in Acn,wacn.date,status,no update in Acom,new article for existing services,removed in Acom,should update but not update,exception,content refresh
aog-active-directory-account-never-expire.md,others,,,10/28/2016,Abandon,None,False,None,None,True,False
aog-active-directory-howto-get-arm-token-by-php.md,others,,,01/12/2017,State,None,False,None,None,True,False
aog-active-directory-manage-domain-integrate.md,others,,,08/31/2016,Abandon,None,False,None,None,True,False
aog-active-directory-powershell-query-token.md,others,,12/16/2016,12/16/2016,Abandon,None,False,None,None,True,False
aog-active-directory-qa-cannot-connect-service-fabric-cluster.md,others,,,03/28/2017,Most Fresh,None,False,None,None,True,False
aog-active-directory-qa-graph-api-auth-error-with-python.md,others,,,03/16/2017,Most Fresh,None,False,None,None,True,False
aog-active-directory-qa-powershell-remove-batch-users.md,others,,,01/12/2017,State,None,False,None,None,True,False
aog-active-directory-subcription-limitation-practice.md,others,,12/14/2016,12/14/2016,Abandon,None,False,None,None,True,False
aog-active-directory-troubleshoot-saml-error.md,others,,10/27/2016,11/10/2016,Abandon,None,False,None,None,True,False
aog-application-gateway-howto-configure-nsg.md,others,,,03/16/2017,Most Fresh,None,False,None,None,True,False
aog-application-gateway-howto-jump-http-to-https.md,others,,,03/16/2017,Most Fresh,None,False,None,None,True,False
aog-automation-classic-cer-verification.md,others,,,02/07/2017,Fresh,None,False,None,None,True,False
aog-automation-connect-mooncake.md,others,,,02/01/2016,Abandon,None,False,None,None,True,False
aog-automation-how-to-turn-on-off-vm.md,others,,,06/08/2016,Abandon,None,False,None,None,True,False
aog-automation-powershell-manage-arm-resource-with-cert.md,others,,,03/31/2017,Most Fresh,None,True,None,None,True,None
aog-automation-powershell-module-update.md,others,,,10/28/2016,Abandon,None,False,None,None,True,False
aog-azure-java-manage-vm.md,others,,,07/29/2016,Abandon,None,False,None,None,True,False
aog-batch-qa-build-python-environment-failure.md,others,,,01/12/2017,State,None,False,None,None,True,False
aog-billing-delete-unused-vhd-to-reduce-cost.md,others,,,05/27/2016,Abandon,None,False,None,None,True,False
aog-billing-rate-card-api-with-powershell.md,others,,,03/16/2017,Most Fresh,None,False,None,None,True,False
aog-cdn-log-download-instructions.md,others,,,02/07/2017,Fresh,None,False,None,None,True,False
aog-cdn-qa-create-failure-without-information.md,others,,12/29/2016,12/29/2016,Abandon,None,False,None,None,True,False
aog-cloud-service-endpoint-configure.md,others,,,08/31/2016,Abandon,None,False,None,None,True,False
aog-cloud-services-compute-diagnostics-data.md,others,,,09/29/2016,Abandon,None,False,None,None,True,False
aog-cloud-services-how-to-catch-iisdump.md,others,,,09/29/2016,Abandon,None,False,None,None,True,False
aog-cloud-services-howto-ip-filter.md,others,,,03/27/2017,Most Fresh,None,False,None,None,True,False
aog-cloud-services-howto-vs-package-exisiting-file.md,others,,12/16/2016,12/16/2016,Abandon,None,False,None,None,True,False
aog-cloud-services-qa-instance-time-sync.md,others,,,02/21/2017,Fresh,None,False,None,None,True,False
aog-cloud-services-qa-java-deploy-environment-error.md,others,,,12/05/2016,Abandon,None,False,None,None,True,False
aog-cognitive-services-qa-csharp-sdk-key-invalid.md,others,,,01/12/2017,State,None,False,None,None,True,False
aog-cognitive-services-qa-php-certification.md,others,,,12/05/2016,Abandon,None,False,None,None,True,False
aog-event-hub-rest-api-howto-choose-java-sdk.md,others,,,02/07/2017,Fresh,None,False,None,None,True,False
aog-event-hubs-apache-storm-consume-message.md,others,,,01/12/2017,State,None,False,None,None,True,False
aog-event-hubs-direct-consume-message.md,others,,,01/12/2017,State,None,False,None,None,True,False
aog-event-hubs-eventprocessorhost-consume-message.md,others,,,01/12/2017,State,None,False,None,None,True,False
aog-general-azure-concept.md,others,,,08/31/2016,Abandon,None,False,None,None,True,False
aog-iot-hub-eventhubclient-connect-string.md,others,,,02/06/2017,Fresh,None,False,None,None,True,False
aog-iot-hub-howto-use-mqtt-protocol-call-direct-method.md,others,,,02/21/2017,Fresh,None,False,None,None,True,False
aog-load-balancer-powershell-query-asm-settings.md,others,,12/15/2016,12/15/2016,Abandon,None,False,None,None,True,False
aog-management-portal-how-to-see-operation-log.md,others,,,12/18/2015,Abandon,None,False,None,None,True,False
aog-media-service-troubleshot-android-hls-address-unknown.md,others,,10/27/2016,11/03/2016,Abandon,None,False,None,None,True,False
aog-media-services-howto-webcast-by-wirecast.md,others,,,1/19/2016,Abandon,None,False,None,None,True,False
aog-media-services-qa-java-upload-large-file-error.md,others,,12/08/2016,12/08/2016,Abandon,None,False,None,None,True,False
aog-media-services-troubleshoot-faq.md,others,,,09/29/2016,Abandon,None,False,None,None,True,False
aog-notification-hub-baidu-register-fail.md,others,,10/28/2016,10/28/2016,Abandon,None,False,None,None,True,False
aog-notification-hubs-android-apk-tag-push.md,others,,,01/12/2017,State,None,False,None,None,True,False
aog-notification-hubs-baidu-bind-relation-not-found.md,others,,12/15/2016,12/15/2016,Abandon,None,False,None,None,True,False
aog-notification-hubs-howto-get-channel-registrations.md,others,,12/05/2016,12/05/2016,Abandon,None,False,None,None,True,False
aog-portal-management-qa-vs2015-login.md,others,,12/05/2016,12/05/2016,Abandon,None,False,None,None,True,False
aog-portal-management-qa-vs2017-login.md,others,,,03/17/2017,Most Fresh,None,False,None,None,True,False
aog-power-bi-embedded-cli-guidance.md,others,,,03/28/2017,Most Fresh,None,False,None,None,True,False
aog-power-bi-embedded-rest-api-introduction.md,others,,,03/28/2017,Most Fresh,None,False,None,None,True,False
aog-powershell-qa-resource-provider-error.md,others,,,01/12/2017,State,None,False,None,None,True,False
aog-powershell-send-http-request.md,others,,,09/29/2016,Abandon,None,False,None,None,True,False
aog-redis-cache-best-Practices.md,others,,,08/31/2016,Abandon,None,False,None,None,True,False
aog-redis-cache-faq.md,others,,,08/31/2016,Abandon,None,False,None,None,True,False
aog-sample-code-fa-csharp-fetch-vm-monitor-data.md,others,,,01/12/2017,State,None,False,None,None,True,False
aog-sample-code-iot-hub-howto-send-message-with-paho-mqttv3.md,others,,,04/18/2017,Most Fresh,None,True,None,None,True,None
aog-sample-code-keyvault-powershell-java-rest-api.md,others,,,03/31/2017,Most Fresh,None,True,None,None,True,None
aog-sample-code-service-bus-api.md,others,,,03/27/2017,Most Fresh,None,False,None,None,True,False
aog-sample-code-virtual-machines-classic-achieve-monitor-data-with-java.md,others,,,04/18/2017,Most Fresh,None,True,None,None,True,None
aog-sdk-python-install.md,others,,,12/05/2016,Abandon,None,False,None,None,True,False
aog-service-bus-lot-hub-generate-sas.md,others,,,12/05/2016,Abandon,None,False,None,None,True,False
aog-service-bus-qa-java-use-jms-api-amqp.md,others,,12/15/2016,12/15/2016,Abandon,None,False,None,None,True,False
aog-service-bus-qa-python-queue-message.md,others,,12/15/2016,12/15/2016,Abandon,None,False,None,None,True,False
aog-service-bus-troubleshoot-certificate-error.md,others,,,11/23/2016,Abandon,None,False,None,None,True,False
aog-service-fabric-deployment-howto-access-through-internet.md,others,,,02/21/2017,Fresh,None,False,None,None,True,False
aog-sql-database-troubleshot-dead-lock.md,others,,,11/30/2016,Abandon,None,False,None,None,True,False
aog-sql-service-transaction-copy.md,others,,,09/29/2016,Abandon,None,False,None,None,True,False
aog-storage-blob-breaklease.md,others,,,01/12/2017,State,None,False,None,None,True,False
aog-storage-blob-file-md5.md,others,,10/28/2016,10/28/2016,Abandon,None,False,None,None,True,False
aog-storage-blob-howto-store-mime-type.md,others,,12/15/2016,12/15/2016,Abandon,None,False,None,None,True,False
aog-storage-blob-integrity-checking-with-md5.md,others,,,04/18/2017,Most Fresh,None,True,None,None,True,None
aog-storage-blob-wget-download-offset.md,others,,10/28/2016,10/28/2016,Abandon,None,False,None,None,True,False
aog-storage-fio-iops-test.md,others,,10/27/2016,11/03/2016,Abandon,None,False,None,None,True,False
aog-storage-how-to-create-account-container.md,others,,,12/14/2015,Abandon,None,False,None,None,True,False
aog-storage-how-to-create-sas-for-blob.md,others,,,06/08/2016,Abandon,None,False,None,None,True,False
aog-storage-how-to-use-azcopy.md,others,,,01/21/2016,Abandon,None,False,None,None,True,False
aog-storage-media-stop-resume.md,others,,10/27/2016,01/11/2017,State,None,False,None,None,True,False
aog-virtual-machine-add-vm-to-availability-group.md,others,,,06/08/2015,Abandon,None,False,None,None,True,False
aog-virtual-machine-how-to-reset-vm-size.md,others,,,12/18/2015,Abandon,None,False,None,None,True,False
aog-virtual-machine-how-to-turn-off-vm-automatically.md,others,,,06/08/2016,Abandon,None,False,None,None,True,False
aog-virtual-machines-access-public-network-with-same-pip.md,others,,,02/21/2017,Fresh,None,False,None,None,True,False
aog-virtual-machines-arm-modify-network-interface-with-powershell.md,others,,,03/17/2017,Most Fresh,None,False,None,None,True,False
aog-virtual-machines-attach-vhd.md,others,,,06/08/2016,Abandon,None,False,None,None,True,False
aog-virtual-machines-disk-performace.md,others,,,10/28/2016,Abandon,None,False,None,None,True,False
aog-virtual-machines-docker-based-afs.md,others,,,09/29/2016,Abandon,None,False,None,None,True,False
aog-virtual-machines-docker-manage-vm.md,others,,,10/28/2016,Abandon,None,False,None,None,True,False
aog-virtual-machines-ha-arm-matters-needing-attention.md,others,,,02/21/2017,Fresh,None,False,None,None,True,False
aog-virtual-machines-howto-activate-dsa.md,others,,12/23/2016,12/23/2016,Abandon,None,False,None,None,True,False
